file,f_Hz,A_TD_V,A_TD_SEM_V,delta_TD_rad,delta_TD_SEM_rad,A_Fourier_V,A_Fourier_SEM_V,delta_Fourier_rad,delta_Fourier_SEM_rad,Hmag_VperV
860mHz.csv,0.86,0.09702704921438507,0.00017143867026583044,4.788326792861234,0.0009523410433143797,0.09819384904826767,0.0006397977556459965,4.80759692979259,0.011591248753874146,0.06623228629337595
861mHz.csv,0.861,0.09693217481989826,0.00017361944078507824,4.7566803125151855,0.0005689002666049327,0.0955608352788406,0.001467049416229854,4.7686407519117715,0.03007493495426169,0.06468526733112727
862mHz (a bit too long).csv,0.862,0.08622740569334258,0.004592498392772973,4.699966576820323,0.013177796281633604,0.08500887822533461,0.004553201505684458,4.6986903029163924,0.032985964326347525,0.056909954781864044
863mHz.csv,0.863,0.09802099760807258,4.750644713568406e-05,4.705449731981078,0.0002722524318310343,0.09630248064035488,0.0015431821828068915,4.7124041935141525,0.05108386466521143,0.06446293301285452
864mHz.csv,0.864,0.09800444089192917,3.1165667762177277e-05,4.676389545782427,0.0002256640378212573,0.09711490383470409,0.0004527328676447057,4.699816990625817,0.006524983541090368,0.0642646875578178
865mHz.csv,0.865,0.09780644203517877,3.3319998519161897e-05,4.653588322479767,0.00024377201861921935,0.09621013444100952,0.0011529319531910032,4.662101322247058,0.016620140151966428,0.0651995536961844
866mHz.csv,0.866,0.09770037008371842,0.00020266607167667165,4.627529164344688,0.0006673656860255024,0.0975566748687804,0.0025305784262339833,4.632474346262754,0.021584592467013018,0.06677555102721774
867mHz.csv,0.867,0.09774602531934695,1.648630596983869e-05,4.596674345311711,0.00015232726139384915,0.09718071080134735,0.002121532969894099,4.597842312651769,0.03903517852229886,0.06550972054361488
868mHz.csv,0.868,0.09735576808498844,5.205958107036164e-05,4.574362179635292,0.00040099592157466046,0.09640905714869143,0.00034252828516666045,4.577710667168822,0.010226808374675567,0.06580891015527185
869mHz.csv,0.869,0.09718914673049567,0.00012743884985921497,4.546756220228309,0.00025834545485560484,0.09556904821367189,0.0019108460750437064,4.531077603669617,0.03404425923430782,0.06395092193383298
870mHz.csv,0.87,0.09707547047536376,2.8978284858130156e-05,4.518279580762342,0.00019255394849917301,0.09770220441238317,0.001054783354510375,4.533413067059947,0.019150110766313656,0.06592238396391911
871mHz.csv,0.871,0.09637708714299745,3.00404133170985e-05,4.4953488425935095,0.0003670242177969044,0.09477377597310917,0.0020055987801521117,4.489246761609898,0.04953780428667504,0.06337109735884892
872mHz.csv,0.872,0.09613407492961171,3.082411187683197e-05,4.468009498229627,0.0003829084579486054,0.09507503495889025,0.0008746617486806829,4.461678708220983,0.021205906168054605,0.06273465762408599
873mHz.csv,0.873,0.09549288966165788,0.00011419118819951361,4.445971202576802,0.0004023705652016765,0.09412638830338681,0.0019870343656443463,4.44520373720746,0.030204981511767273,0.06352413096450074
874mHz.csv,0.874,0.09487323004968476,4.685745696356505e-05,4.417790483744997,0.0001509234865551468,0.09494128233824788,0.0025099020111842766,4.420190748786044,0.01037075165791705,0.06515537498109274
875mHz.csv,0.875,0.09430939505464565,3.057402872055027e-05,4.391552656221982,0.00014308859426973773,0.09336201361798702,8.899909732390877e-05,4.394993084644945,0.005141978545116359,0.06171365214131944
